Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  8.59    429.28   429.28                             Species::GPPleaf(float, float, float) (troll.cpp:897 @ 40e960)
  8.54    856.31   427.03                             UpdateTree() (troll.cpp:2947 @ 40b151)
  7.25   1218.55   362.24                             UpdateField() (troll.cpp:2783 @ 40a6e1)
  4.88   1462.61   244.06                             __gnu_cxx::new_allocator<int>::construct(int*, int const&) (new_allocator.h:130 @ 41056f)
  4.82   1703.67   241.06                             std::vector<int, std::allocator<int> >::push_back(int const&) (stl_vector.h:903 @ 40fa9f)
  4.77   1942.36   238.69 3156856902     0.00     0.00  std::sqrt(float) (cmath:483 @ 40e1d0)
  4.41   2162.69   220.33                             Tree::Fluxh(int) (troll.cpp:1303 @ 403313)
  3.87   2355.98   193.29                             Species::GPPleaf(float, float, float) (troll.cpp:889 @ 40e8b2)
  3.43   2527.64   171.66                             UpdateField() (troll.cpp:2699 @ 40a3c1)
  3.06   2680.42   152.78                             Species::GPPleaf(float, float, float) (troll.cpp:895 @ 40e914)
  2.77   2818.68   138.27                             UpdateField() (troll.cpp:2683 @ 40a2ff)
  2.30   2933.83   115.15                             UpdateField() (troll.cpp:2700 @ 40a43d)
  1.67   3017.26    83.43                             Species::GPPleaf(float, float, float) (troll.cpp:872 @ 40e6ed)
  1.58   3096.12    78.86                             genrand2i() (troll.cpp:3548 @ 40dedc)
  1.39   3165.77    69.64                             Species::GPPleaf(float, float, float) (troll.cpp:861 @ 40e6a6)
  1.29   3230.39    64.62                             UpdateTree() (troll.cpp:2941 @ 40b058)
  1.12   3286.62    56.23                             UpdateTree() (troll.cpp:2938 @ 40afeb)
  1.11   3342.34    55.73                             Species::GPPleaf(float, float, float) (troll.cpp:874 @ 40e72d)
  0.97   3390.67    48.33                             Species::GPPleaf(float, float, float) (troll.cpp:870 @ 40e6d8)
  0.96   3438.43    47.76                             Tree::Fluxh(int) (troll.cpp:1305 @ 40337f)
  0.90   3483.37    44.94                             Species::GPPleaf(float, float, float) (troll.cpp:873 @ 40e715)
  0.86   3526.42    43.06                             Tree::Update() (troll.cpp:1575 @ 4043be)
  0.80   3566.37    39.95 5899500952     0.00     0.00  minf(float, float) (troll.cpp:350 @ 40e27b)
  0.79   3605.97    39.61                             Tree::CalcLAI() (troll.cpp:1249 @ 40303a)
  0.79   3645.24    39.26                             UpdateField() (troll.cpp:2682 @ 40a32b)
  0.78   3684.10    38.86                             Species::GPPleaf(float, float, float) (troll.cpp:859 @ 40e692)
  0.77   3722.43    38.32                             Tree::CalcLAI() (troll.cpp:1245 @ 402f5c)
  0.69   3757.11    34.68                             Tree::Fluxh(int) (troll.cpp:1304 @ 403364)
  0.69   3791.73    34.62                             Species::GPPleaf(float, float, float) (troll.cpp:899 @ 40e9e5)
  0.69   3826.19    34.45                             UpdateField() (troll.cpp:2780 @ 40a6c5)
  0.63   3857.60    31.42                             minf(float, float) (troll.cpp:351 @ 40e292)
  0.61   3887.99    30.39 11780403896     0.00     0.00  min(int, int) (troll.cpp:354 @ 40e2af)
  0.60   3918.01    30.01 35938166619     0.00     0.00  Species::GPPleaf(float, float, float) (troll.cpp:851 @ 40e672)
  0.56   3946.14    28.13                             Species::FillSeed(int, int) (troll.cpp:625 @ 402334)
  0.55   3973.41    27.27                             Tree::CalcLAI() (troll.cpp:1246 @ 402fbe)
  0.51   3998.99    25.58                             minf(float, float) (troll.cpp:353 @ 40e2a5)
  0.50   4024.02    25.02 147524424     0.00     0.00  std::sin(float) (cmath:445 @ 40e19c)
  0.50   4048.78    24.76                             Species::GPPleaf(float, float, float) (troll.cpp:862 @ 40e6bf)
  0.47   4072.26    23.48                             Tree::Fluxh(int) (troll.cpp:1300 @ 4032ee)
  0.40   4092.08    19.82                             Tree::Fluxh(int) (troll.cpp:1296 @ 40341e)
  0.39   4111.55    19.46                             Tree::Update() (troll.cpp:1580 @ 404460)
  0.36   4129.68    18.13                             Tree::Fluxh(int) (troll.cpp:1280 @ 403173)
  0.36   4147.74    18.06                             Tree::CalcLAI() (troll.cpp:1203 @ 402ca8)
  0.32   4163.75    16.01                             genrand2() (troll.cpp:3502 @ 40dc62)
  0.29   4178.04    14.29                             UpdateField() (troll.cpp:2698 @ 40a497)
  0.29   4192.31    14.27                             UpdateTreefall() (troll.cpp:3001 @ 40b387)
  0.26   4205.30    12.99                             Species::DeathRate(float, float, int) (troll.cpp:823 @ 40e52b)
  0.25   4217.96    12.66                             Tree::Fluxh(int) (troll.cpp:1307 @ 4033db)
  0.25   4230.58    12.62                             UpdateField() (troll.cpp:2787 @ 40a764)
  0.25   4243.07    12.49                             Species::GPPleaf(float, float, float) (troll.cpp:894 @ 40e905)
  0.24   4255.22    12.15                             UpdateField() (troll.cpp:2747 @ 40a4c1)
  0.22   4266.39    11.17                             UpdateTreefall() (troll.cpp:2989 @ 40b316)
  0.19   4276.13     9.74                             Tree::Fluxh(int) (troll.cpp:1316 @ 403476)
  0.19   4285.81     9.68                             min(int, int) (troll.cpp:356 @ 40e2cf)
  0.19   4295.45     9.64                             Tree::Fluxh(int) (troll.cpp:1306 @ 4033ad)
  0.19   4305.03     9.58                             std::vector<int, std::allocator<int> >::push_back(int const&) (stl_vector.h:905 @ 40fac0)
  0.19   4314.47     9.44                             Tree::DisperseSeed() (troll.cpp:1542 @ 40417c)
  0.18   4323.61     9.14                             Tree::Fluxh(int) (troll.cpp:1317 @ 4034a0)
  0.18   4332.43     8.82                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:911 @ 40ea35)
